location_identifier,location_target_encoded
Al-Kareem Premier Housing Scheme - Lahore,9000000.0
Zaitoon - New Lahore City - Lahore,7792592.592592592
Jaffar Town - Lahore,10275000.0
Bakar Mandi Road - Faisalabad,4566666.666666667
Nazimabad Villas - Faisalabad,13000000.0
Nighabanpura - Faisalabad,6575000.0
Kashmir Road - Faisalabad,20833333.33333333
Ravi Gardens - Faisalabad,10500000.0
Sarafa Bazar - Rawalpindi,35000000.0
Police Foundation Housing Scheme - Rawalpindi,13600000.0
Defence Road - Rawalpindi,8133076.923076923
Khayaban-e-Tanveer - Rawalpindi,9716666.666666666
Qutbal Town - Islamabad,5425000.0
Alipur Farash - Islamabad,5653703.703703703
Punjab Coop Housing Society - Lahore,16875881.656804733
Fazaia Housing Scheme - Lahore,18920000.0
Anarkali - Lahore,15125000.0
Sodiwal - Lahore,7981250.0
Shiraz Villas - Lahore,11900000.0
Shah Faisal Road - Lahore,8950000.0
Ichhra - Lahore,8747619.047619049
Jaranwala Road - Faisalabad,5007142.857142857
Green View Colony - Faisalabad,15662500.0
Air Avenue City - Faisalabad,8425000.0
Latif Garden - Faisalabad,4690000.0
Al Noor Garden - Faisalabad,9803703.703703703
Dhanola - Faisalabad,3500000.0
Islamabad Farm Houses - Rawalpindi,12250000.0
Banaras Colony - Rawalpindi,5200000.0
Wazir Town - Rawalpindi,6262500.0
Dhoke Munshi Khan - Rawalpindi,5750000.0
Falaknaz Dynasty - Karachi,4850000.0
Etawa Society - Karachi,14152941.176470589
C-18 - Islamabad,7166666.666666667
D-12 - Islamabad,18036956.52173913
Royal City - Islamabad,6900000.0
Dubai Town - Lahore,5137500.0
Farooq Colony - Lahore,8530000.0
Ali Alam Garden - Lahore,8380000.0
New Muslim Town - Lahore,31133333.33333333
Main Canal Bank Road - Lahore,12507758.620689657
Awan Town - Rawalpindi,7250000.0
Nussah Town - Rawalpindi,6000000.0
Zamzama - Karachi,16250000.0
Liaquat Avenue - Karachi,6300000.0
Airport Enclave - Islamabad,9566666.666666666
Allama Iqbal Intl Airport - Lahore,16600000.0
Lahore Press Club Housing Scheme - Lahore,17611111.111111112
Peer Colony - Lahore,9166666.666666666
Jora Pull - Lahore,6166666.666666667
Khurianwala - Faisalabad,5075000.0
Shadab Colony - Faisalabad,6628571.428571428
Dhoke Hassu - Rawalpindi,7000000.0
Aisha Manzil - Karachi,9833333.333333334
Abid Town - Karachi,9825000.0
Karachi Motorway - Karachi,9575000.0
Royal Garden - Lahore,8000000.0
Super Town - Lahore,13582608.695652174
Shera Kot - Lahore,9400000.0
Bait-ul-Raza Colony - Lahore,7700000.0
Hamza Town - Lahore,4393823.529411765
Real Cottages - Lahore,10000000.0
Sue-e-Asal - Lahore,4922222.222222222
Garrison Homes - Lahore,7588461.538461538
